document,label
"[스타트업 취중잡담] 대기업이 먼저 찾아온다, 고졸 설움 남성의 180억 반전",2
"[강세 토픽] 폭염 테마, 에쎈테크 +8.82%, 크린앤사이언스 +4.27%",2
"[강세 토픽] 폭염 테마, 에쎈테크 +5.99%, 위닉스 +3.85%",2
"[강세 토픽] 스마트홈 테마, 와이솔 +6.06%, 하츠 +4.77%",2
"[강세 토픽] 스마트홈 테마, 필룩스 +3.80%, 윈팩 +3.05%",2
"[데스크가 만났습니다]김창용 NIPA 원장 ""한국형 인공지능 산업 육성 올인""",2
“이젠 E모빌리티다” 선점경쟁 나선 4대 그룹,2
지난해 영업이익 증가율 1위 통신장비 기업은 서진시스템. 왜?,2
[창간특집] 4차 산업 물결 속 기업들은 체질 개선 구슬땀,2
‘제조업 패러다임’을 바꾸는 핵심 동력 스마트팩토리 주식의 스마트한 유혹,2
공장이 거대 컴퓨터로... 스마트팩토리가 열린다,2
"인천시, 정보통신기술 활용 스마트 공장 보급",2
"인천시, 삼성전자와 함께 지역 제조업 공장 스마트화 보급",2
스마트팩토리 해외 공략 가속.. 관련주 성장 주목,2
"늘어나는 환경규제, 친환경 관련주 뜬다",2
"삼성 SK LG '미래 사업', IT계열사가 떠 받친다",2
"[에너지 강국]새로 찾고, 아껴 쓰고 에너지 청정국이 우리 미래다",2
“중소 중견기업 제조역량 업그레이드 해드립니다”,2
"경북 구미, 스마트팩토리 확산 거점으로 뜬다[수정]",2
SKT 'IoT 플랫폼 대전' 가세,2
"[IT 신제품 대전] 삼성 SDS '물류솔루션'-LGCNS '분석솔루션', ""글로벌 IT트렌드 우리가 이끈다""",2
"삼성SDI, ‘UPS+ESS’ 완제품 개발[수정]",2
"제조업 혁신 3.0, 스마트공장 1만개로 2024년 수출 1조달러 시대 개막",2
[SPECIAL REPORT 2] 5대 그룹 신성장동력 모바일 친환경차↑ 태양광↓,2
"생태계 복원, 물 환원 프로젝트 국민이 체감할 ESG 사례 발굴",3
"사용한 물 다시 쓰고, 하천도 살리고",3
"삼성전자, 반도체 업계 최초 '카본트러스트 AWS' 국제인증 획득",3
"삼성전자 화성 캠퍼스, 국제수자원관리동맹 인증 최고 등급 받았다",3
"이재준 수원특례시장, 공직자 삼성전자 임직원과 '세계 물의 날' 기념",3
"이재준 수원시장, “하천을 비롯한 자연환경 보호를 위해 지속해서 노력하겠다”",3
[강원포럼]물 한방울의 진짜 가치,3
"탄소중립 무역장벽 해소, 수상태양광에서 해답 찾다",3
"탄소중립 무역장벽 해소, 수상태양광에서 해답 찾다",3
"농어촌公-삼성전자, 환경경영 확산 업무협력 체결",3
충남도 ‘베이밸리 메가시티’ 건설로 한국 경제 성장 견인?[중원 르네상스-변방에서 중심으로],3
삼성전자 “공공 민간에 ‘이음5G’ 장비 공급 확대”,3
"삼성전자, 이음5G 장비 공급 확대",3
[K-water 수도권수도사업단 ] 물 관리 으뜸 기관... 수도권 주민 행복을 水 놓다,3
"LG전자, 美컨슈머리포트 세탁기-건조기 세트 1위",3
"[서경이 만난 사람] 한정애 장관 ""SMR SFR은 핵폐기물 적어 K택소노미에 포함 검토""",3
정부부처 주간일정 및 보도계획(24~28일),3
<오늘의 인사>,3
<오늘의 인사>,3
[K-water 수도권수도사업단 ] 물 관리 으뜸 기관... 수도권 주민 행복을 水 놓다,3
"대구 ""제2의 페놀사태 막아야"" vs 구미 ""물 부족 사태 부를 것""",3
"LS일렉트릭 에너지 공기업, 기술 중소기업에 무상 이전",3
"산업부, 기술나눔사업 활발",3
LS일렉트릭 가스공사 한수원 등이 보유한 '에너지 환경 분야 기술' 중소기업에 무상이전,3
조간브리핑 (1월 20일),3
"[CES 2021] ""AI가 물관리"" 삼성, 비스포크 정수기 첫선",3
플라스틱의 역습 '환경 딜레마'에 빠진 언택트 기업들,3
"하천 물관리에 사활 건 삼성전자 ""수자원 파괴땐 반도체 공장도 멈춘다""",3
2020년 TTA 시험인증 대상 시상식,3
"부강테크, 2020 UN지속가능개발목표경영지수(SDGBI) 글로벌 최우수그룹에 선정",3
로봇이 주차해주고 자율주행차만 다니는 도시 스마트시티 '눈앞',3
세종 스마트시티 시범도시 2023년 입주,3
머니투데이 오프라인 헤드라인-9일자,3
"1년 내린 비, 28%만 활용 한번 쓴 물 걸러 화장실에 재활용을",3
삼성에 이어 SK하이닉스 방류천에도 수달 발견,3
스마트 기술' 만난 부동산 미래 한눈에 해외투자 상품도 찜해볼까,3
[인사] 해양수산부 외,3
오늘의 인사 - 2020년 1월 22일,3
1월 22일 인사,3
[인사] 삼성전자 / 삼성SDS / 삼성전기 등,3
文대통령 ‘신남방 외교전’ 태국 印尼 필리핀 릴레이 정상회담,3
"문 대통령, 잠시 뒤 환영 만찬 주재...사회에 배우 정우성",3
"한 아세안 개막...문 대통령 ""북미회담 넘으면 동아시아도 하나""",3
"문 대통령 ""3차 북미회담 넘으면 동아시아도 하나의 공동체""",3
"문 대통령 ""3차 북미회담 넘기면 동아시아 공동체 가능""",3
핵심기술 통한 주력산업 체질개선,3
[인사] 과학기술정보통신부 外,3
[인사] 과학기술정보통신부 外,3
"[인사]삼성전자, 한국수자원공사",3
"이낙연 국무총리, 구미 경제인과 간담회",3
"[인터뷰]이철우 경북지사 ""바이오 드론 신산업 생태계 조성 일자리 창출에 사활""",3
[세종만사(世宗萬事)]전기요금 누진제 한시 완화했지만...,3
대구시민들 “정부가 중재는커녕 갈등 조장” 반발,3
"[MT리포트]한몸이길 바랐던 '금융당국', 불안한 동거 끝낼까",3
"K-water(한국수자원공사), 베트남에 스마트 물기술 수출 본격화",3
머니투데이 오프라인 헤드라인-12월1일자,3
[이브닝 이슈] 캐비닛 문건 추가 발견 국정과제 완수 위한 협치 전략은?,3
"[기업 재무] 애플 도요타도 선택한 그린본드, 새 성장동력 '기후 시장' 선점하라",3
‘1회 충전 400㎞ 주행’ 고밀도 전지 개발 ‘스마트 신도시’ 수출 산업으로 육성,3
[한-이란 정상회담]교역 복원 일등공신은 ICT 앞으로가 더 `무궁무진`,3
['바이오 신화' 도전 나선 삼성] 바이오서 '삼성의 미래' 찾는 이재용의 자신감,3
2015년 10월 8일(목) 전국 주요 신문 사설,3
[기고] 팀 코리아로 일굴 제2 해외건설 신화,3
2015년 4월 21일자 전국 주요 신문 톱뉴스,3
“물기술 총망라 기업 국가관 빨리 구경하세요” 물포럼 ‘Expo& Fair’,3
[제7차 세계 물 포럼 개최] (5)블루골드를 잡아라,3
마이크론발 패권 경쟁 점입가경 부담 커지는 우리 기업,8
마이크론 제재에 美 ‘공급망 中 견제’ 고삐,8
"[fn사설] 격화되는 공급망 전쟁, 초격차 기술만이 살 길",8
"中 “韓, ‘마이크론 대체 말라’는 美 따르면 심각한 결과” 연일 압박",8
살얼음판 미중 관계 곤혹스런 한국 반도체 기업,8
"[기고] 한중관계, 지금이 큰 고비다",8
"중국, 한국에 ""마이크론 메우기는 당연"" 회유... 일본엔 ""강렬한 불만"" 압박",8
"中 관영매체 ""韓, 마이크론 대체 말라는 美 요구 거절해야""",8
"마이크론 제재' 中 ""韓, 중국에 반도체 공급 늘리지 말라는 미국 요구 거절해라""",8
"中 ""韓, 반도체 공급말라는 美 요구 거절해야""",8
마이크론 제재 뒤 한국에 손 내민 중국... K반도체 '줄타기' 아슬아슬,8
美 “동맹과 중국에 대응” 中 “한국과 협력” 난감한 K반도체,8
中 다급했나 “한국과 반도체 협력 강화” 일방 발표,8
"中, 美와 반도체 전쟁중 “韓과 협력” 일방 발표, 국내 업계 “美 지켜보는데 기술협력 불가능”",8
[사설] IPEF 공급망 협정 타결 대중 관계 세심한 관리가 당면과제,8
"“韓, ‘중국의 마이크론 제재’ 시장 확대에 이용 안 할 듯”",8
미국 중심 ‘반도체 공급망’ 공조 한국에 다급히 손 내민 중국,8
"언제는 경고만 날리더니 한국에 매달리는 중국, 왜?",8
"코너몰린 中 ""韓과 반도체협력"" 일방 발표",8
미-중 ‘협력 요구’ 맞출 장단 못 찾는 ‘반도체 강국’ 한국,8
"IPEF 첫 성과물은 ‘반도체 공급망 확보’  다급한 중국, 한국에 손",8
"中, 美 반도체 제재에 다급했나...“한국이 공급협력” 일방 발표한 속내",8
"미 ""중국의 마이크론 제재는 경제적 강압 용납 불가""",8
반도체 빼고 ‘디리스킹’으로 가는 G7  한국만 ‘호구’인 국제질서?,8
美상무 “中 마이크론 제재 용납 불가 동맹과 함께 대응”,8
"""반도체 협력하자"" 한국에 손 내미는 중국의 진짜 속내는?",8
"中, 한국에 “반도체 협력하자”...美中에 끼인 한국 어쩌나",8
미중 '반도체 전쟁' 속 한국에 협력 의사 피력한 중국,8
"中 “한국이 반도체 협력 동의” 일방 발표, 속내는?",8
中 “한국과 반도체 공급망 협력 강화” 일방 발표 논란,8
"美 때리고 韓에 손 내민 中 ""반도체 공급망 협력하자""",8
"2인자는 용납 않는 미국, 일본 반도체와 손잡다 [클린룸]",8
경제안보' 선구자 일본에게 배우는 중국 '디리스킹'[PADO],8
"美日, 반도체 새판짜기 차세대 칩 함께 만든다",8
반도체 전사' 길러라 성균관대 KAIST UNIST에 5년간 年30억씩 지원,8
"일, 빼앗긴 반도체 시장 되찾나 미국과 기술 인재 ‘동맹’ 강화",8
"[日 반도체 재도약]①美가 무너뜨린 반도체왕국, 이젠 美 첨병으로 부활",8
"[사설] 마이크론발 반도체 전쟁, 정교한 전략 세워야",8
반도체 감산에 콩고물 와르르... 주가 2배 뛴 '이 종목',8
"[내일시론] K-반도체, 일본을 주목할 때다",8
삼성 사장 만난 기시다의 깜짝 성과 日의 치밀한 연출이었다 [정영효의 일본산업 분석],8
中 세탁기도 못 만들게 되나...日 '핵폭탄급' 제재 [Y녹취록],8
[굿모닝경제] 미-중 반도체 전쟁에 '새우' 한국 등 터질라,8
"美 “韓, 마이크론 中 공백 채우지 마” 사실상 삼성 SK 반사이익 차단 메시지",8
"위기의 K반도체 ""美, 중국 공장 10%까지 증설 허용을"" 다급히 요청",8
탈중국 나선 애플 “미국산 반도체 사용 확대”,8
日은 美와 결속 강화 반도체 첨단장비 23종 중국으로의 수출 규제,8
지리 경제학적 고민 K반도체 “中서 10% 증산” 美에 요청,8
"퇴행의 정치가 막은 한 일 미래협력, 경제 산업이 복원할 때 [사설]",8
"美 “韓, 마이크론 中 공백 채우지 마” 사실상 삼성 SK 반사이익 차단 메시지",9
"中, 네덜란드 경고...美, 中업체 블랙리스트 거론",9
격화되는 ‘반도체 갈등’ 中은 네덜란드에 경고-美는 中업체 블랙리스트 만지작,9
[모자이크 코리아] 캐나다선 기술인재에 신속 영주권  지자체가 이민자 스카우트도,9
‘현대판 매국’ 기술유출 처벌 세질까,9
‘현대판 매국’ 기술 유출 처벌 세질까 양형위 통과 촉각,9
"아이피샵, 포콘스 및 반려동물과 전략적 제휴 체결",9
"에버엑스, 투자 혹한기 속 ‘80억 시리즈A’ 유치 본격 시장 공략",9
"네이버 위조 상품 대응 노력, 해외서도 주목",9
네이버 위조상품 사전 탐지 시스템에 외신도 놀라 “가품 신고 90% 감소”,9
10월 종료 반도체 수출통제 포괄허가 조치 이창양 장관 “근본적 조치 취해달라” 요청,9
[논단]기업이 美서 제소당하는 사례가 급증하는 시대,9
"""애플에 모든 것 빼앗겼다"" 중소기업 대표의 눈물 [강경주의 IT카페]",9
"4월 셋째 주, 마켓PRO 핫종목 주요 이슈 5분 완벽정리 [위클리 리뷰]",9
"12년만 美국빈방문, 친교부터 하버드대 연설까지 '최대 이벤트'",9
"이재용, 최태원, 정의선, 구광모도 동행 尹 방미에 122명 경제사절단",9
"1호 영업사원' 尹대통령, 이재용 등 122명 기업인과 美국빈방문",9
"尹, 122명 경제인 이끌고 방미 하버드대 강연도",9
"[아이디어 탈취 당한 스타트업들의 호소] ""대기업은 갑질, 법은 허점투성이  누가 창업하겠나""",9
"특허청, 반도체심사추진단 현장소통 첫발",9
"미국 반도체 기업 인테그리스, 수원에 둥지 튼다",9
"미국 반도체 기업 인테그리스, 수원에 둥지 튼다",9
인텔 Arm 깜짝 파트너십 발표 삼성 TSMC에 도전장,9
"손정의가 손에 쥔 ‘반도체 대어’ ARM, 나스닥으로 간다",9
이재용 탐낸 '반도체 대어' 美 방향 튼 손정의 ARM 나스닥행,9
국내 지식재산권 출원 5년만에 감소,9
"헷갈리는 무역수지, 경상수지... 어떤 걸 봐야 하나",9
“법인세 인하=초부자 감세” 이재명 대표의 주장이 허구인 이유,9
정년자 재고용 재직자엔 애사심 고취로 기술 사수 ‘안간힘’ [심층기획-기업들 첨단기술 유출 골머리],9
미 중 갈등속에 힘 빠진 보아오 포럼,9
"日 디스플레이 자존심' JOLED, 파산보호 신청",9
‘아시아판 다보스’ 중국 보아오포럼 하이난서 개막 4년만에 정상 개최,9
"[단신]토스, ‘유난한 도전’ 인세 전액 기부 外",9
“기술 훔쳐 710억 챙겨도 고작 4년형...엄벌로 경고해야”,9
기술유출 선고까지 하세월 “전문법원 도입 서둘러야”,9
“710억 챙겨도 징역 4년 엄벌로 경고해야” 칼 빼든 검찰[기술도둑 꼼짝마],9
"""중국 내 반도체 증산 5%까지 허용"" 美상무부 세부규정 공개",9
네덜란드도 반도체 장비 中수출 금지 품목 확대,9
[내일시론] 백척간두 위기에 몰린 반도체산업,9
"변리사회, 제품특허인증 사업 본격 시동",9
[지재권 흑자시대]한국 기업은 왜 특허출원에 공격적으로 나서나,9
"[자막뉴스] ""울며 겨자 먹기라도..."" 한국, 시급한 묘수 찾기",9
거부할 수 없는 美 반도체법...'가드레일' 설득 총력전,9
한국 국제특허출원 3년 연속 세계 4위,9
"“韓, 국제특허출원 세계 4위 상위 기업엔 삼성 LG”",9
"韓, 3년 연속 국제특허출원 세계 4위",9
"한국, 3년 연속 국제특허출원(PCT) 세계 4위",9
"""한국, 3년 연속 국제특허출원 세계 4위""",9
"법무법인 세종, 판사 출신 잇따라 영입...송무 분야 강화",9
[사설] ‘이중 덫’ K반도체 범부처TF 구성해 정교한 지원 전략 펴라,9
"챗GPT기자와 인간기자 기사쓰기 대결, ""자괴감이 들었다""",9
"""자부심을 가지세요"" 세계 지식재산기구 사무총장 첫 해외순방국 '코리아'",9
"국립 금오공대, 창업교육 보육 성공모델 자리잡아  2022년 매경 창업우수대학 순위 16위→8위 ‘껑충’",9
"[세계타워] K영상콘텐츠, 계속 황금알 낳으려면",9
세상을 바꾸는 AI혁명 그 뒤에는 유대인 천재 4명 있다,9
"특허청, 지식재산 총괄 국제기구간 회담 개최",9
‘AI’ 한 방 있지만 한 발 딛기 힘든 참 골 아픈 문제들,9
[취재수첩] 토큰증권에서 느껴지는 '비트코인 광풍',9
치열해지는 IT공룡들 AI 전쟁 국내기업 ‘실탄’이 부족하다,9
다렌 탕 세계지식재산기구 사무총장 오늘 방한,9
WIPO 다렌 탕 사무총장 방한 특허청장 회담 한국 기업 방문,9
다렌 탕 세계지식재산기구 사무총장 7일 방한,9
다렌 탕 WIPO 사무총장 방한...지식재산 협력 강화 방안 논의,9
지식재산 국제질서 총괄 '다렌 탕' WIPO 사무총장 7~11일 방한,9
세계지식재산기구(WIPO) 다렌 탕 사무총장 7일 방한,9
"WIPO 사무총장, 2023 첫 순방지로 한국방문",9
한국 '메타버스 특허출원' 세계 3위  삼성 LG 등 두각,9
“특허침해 中부품 美서 못쓰게 해달라” 수입금지 소송 제기한 삼성디스플레이,9
“삼성 기술 ‘도둑질’ 더는 못 참아” 중국 상대로 처음 시도한 것 [비즈360],9
“삼성 기술 ‘도둑질’ 더는 못 참아” 중국 상대로 처음 시도한 것 [비즈360],9
스타트업 아이디어 도용 의혹 또 터졌다 이번엔 영양제 디스펜서,9
"K-IP(지식재산권) 빅뱅 시대, 할리우드 제작사 인수하고 日 지상파 뚫었다",9
[한경에세이] 창의적 지식의 힘,9
"[여기는 포항] 포항, 친환경 모빌리티 지원 정책 적극 추진 외",9
[안전경영] ‘안전은 선택 아닌 필수’…글로벌 최고 수준의 사업장 구축,5
“협력사 요청에 작업 멈춘 곳은 삼성전자가 처음”,5
"삼성, 내달 반도체직업병 대책 확정… 연내 추진한다",5
"[뉴스AS] 반올림과 삼성의 합의, 우리에겐 ‘황유미법’이 필요하다",5
삼성 “실습생 등 취약근로자 보호 위해 노력”,5
“삼성전자 ‘백혈병 기탁금’ 500억 안전보건센터 건립 등에 쓸 것”,5
[인터뷰]“삼성 기탁금 500억으로 ‘전자산업안전보건센터’ 건립…전자ㆍ서비스노동자 보호”,5
[산업재해 사망사고 절반으로 줄이자│② 산업재해 예방 패러다임 변화 필요] 선택과 집중으로 악성 사망사고 줄인다,5
산재 신청 근로자에 작업환경 보고서 전면 공개한다,5
삼성전자 DS부문 평택 협력사 환경안전 아카데미… 연간 38만명 이용가능,5
"삼성준법위, 삼성물산 작업중지권 주목…""산재 방지 노력 당부""",5
"삼성전자 근로자들 첫 '산재 신청'…""근골격계 극심한 통증""",5
"삼성전자, 사업장 안전보건 지표 개선",5
"선진국, 위험정보에 노동자 접근권 보장",5
반도체 여성 노동자 백혈병 위험 1.55배···“작업환경 영향 추정”,5
“삼성 반도체 작업장 환경과 백혈병 인과관계 불명확”,5
삼성 ‘영업비밀’ 주장에 가로막힌 반도체 노동자 건강권,5
"삼성전자 ""결과 최대한 수용"" … 반도체 직업병 논란 전환점 맞나",5
"이제야 공개되는 삼성 반도체공장 환경보고서...소송 진 노동부, ""상고 포기""",5
뱃속 아이까지 ‘업무상 재해’ 확대… 안전한 일터 목소리 커져 [뉴스 인사이드],5
"삼성전자 수원사업장, 환경안전 국제인증 취득",5
[안전한 일터 만들자] 삼성전자 .. 세계최초 '무재해 기록 60배'달성,5
"삼성전자 등 반도체업계 ""발암물질 관리 강화""",5
<안전경영이 기업 경쟁력이다>작업현장도 車도 ‘인간 우선’… IoT·빅데이터로 ‘재해 제로’,5
산재 예방조치 위반 중 60%가 건설업…중대재해법 앞두고 어떡하나?,5
"""삼성전자 광주공장, 노동 여건 개선 미흡""",5
"[단독] 삼성전자 광주사업장 10명 중 4명, “산재 신청 않고 개인치료 등 대체”",5
안전보건공단 '안전 패트롤' 효과…지난해 산재 사망자 116명 감축,5
"삼성, 베트남공장 노동착취 의혹 반박…""모든 근로자에게 적법한 대우""",5
"“살 벗겨지고, 손가락 잘리고”…삼성 하청 공장은 더욱 처참",5
삼성반도체·디스플레이 이어 삼성SDI서도 ‘직업성 암’ 첫 산재 인정,5
