index,label,document
117,0,"TSMC, 대만남부공장에서 3나노칩 양산 시작"
118,9,"도약 거듭한 2022년 IoT 시장, 내년부터 판 더 커진다"
119,7,"“5천만원 손실, 삼성전자 지금이라도 팔아야 해?” 세계 최고 ‘AI’ 치명적 오답?"
120,0,"삼성 바짝 추격하는 TSMC, 3나노 반도체 양산 시작"
121,0,[사설] 소비 한파에 반도체도 내리막 규제혁파로 활력 회복해야
122,2,[다가오는 `CES 2023`] 모빌리티 메타버스 `빠져들어라` 삼성 LG SK 등 3000곳 신기술
123,0,"‘접히는’ 아이폰, 내년 나온다더니 소문만 무성"
124,0,"[홍성걸 칼럼] 반도체 대하는 태도, 이건 나라가 아니다"
125,0,"코스피, 폐장일도 급락...2,230대로 올해 거래 마감"
126,0,경영 보폭 넓히는 대기업 3 4세 주목 “미래 먹거리 선점한다”
127,0,3300 간다더니 결국 2236 16조 담은 개미 '피눈물'
128,0,테슬라 ELS 하룻밤 새 1700억 증발 위기 잠 못드는 투자자 [마켓워치]
129,7,32형 대형 스크린 탑재 ‘비스포크 냉장고’ 공개 [미리보는 CES 2023]
130,0,끝내 못 이긴 3高 악재 시총 567조 증발
131,0,올해 코스피 시총 430조 증발...역대 5번째 부진한 성적표
132,0,"신세계까사 가구, SK매직서 렌탈하세요"
133,0,숫자로 본 올해 증시
134,0,"[ET] 3나노 양산 돌입한 TSMC, 삼성전자 초격차 더 벌어지나?"
135,2,[지평선]?반도체 설비투자 세액공제 논란
136,0,금융위기 이후 최악 성적... 꼴찌 코스피에 개미 피눈물
137,8,커지는 불황 공포  얼어붙은 세밑경기
138,2,"재고만 쌓이는 반도체, 내년 반값떨이하나"
139,8,"[생생경제] 미중 사이에 낀 우리나라 경제, 내년 전망은?"
140,0,"“BMW 끝났다” 비웃었는데...벤츠 복통유발, 7년 내공 ‘사장차 끝판왕’ [왜몰랐을카]"
141,7,냉장고에 32인치 TV 탑재 문 안열고도 내부가 훤히 
142,9,그래도 ‘배?차?소’에는 훈풍 혹한기에도 채용 늘리는 기업은
143,0,"올 증시 1월3일 개장일이 ‘꼭지’였다 코스피, 3천대 찍고 내리막"
144,0,유종의 미'도 없었다 잔혹한 12월 코스피
145,0,숫자로 본 올해 증시
146,0,"채권 강자 KB證, 주식발행 시장도 쓸었다"
147,0,-25% 쭉 빠진 코스피 시가총액 436조원 증발했다
148,2,AI 냉장고 LCD 세탁기 차세대 배터리 삼성 LG SK ‘미래기술’의 향연
149,0,폐장일에도 급락 올해 코스피 25% 빠져 14년만에 최대 낙폭
150,0,?올 한해 개인들 뒤통수 제대로 친 마이너스 종목은?
151,9,벤처기업 매출액 223조 달성
152,0,"코스피, 폐장일도 급락...2,230대로 올해 거래 마감"
153,0,‘기업 성장=일자리 증가’ 공식 깨졌다 대표 기업 15곳 살펴보니
154,0,"올해 마지막 거래일, 코스피 2230선 마감"
155,0,2900→2200 악몽 같았던 코스피 삼성전자 네카오 초토화
156,0,반도체 등 첨단분야 석 박사 1303명 증원 80%는 수도권대 몫
157,0,[마감시황] 2236으로 마감한 2022년 코스피 코스닥은 680선 하회
158,0,토끼처럼 깡충 내년에 튀어오를 종목 골라볼까
159,1,[2023 키워드 R] Part1 Regeneration (친환경) | 기업성장의 필수조건 된 탄소중립
160,0,[송년호]반도체로 경제위기 극복
161,8,[2023 키워드 R] Part1 Re-bloc (新냉전) | 미 중 러 갈등에 동맹 짝짓기 새 조류
162,0,올해 증시 마지막날 코스피 1.9% 급락 2230선 후퇴
163,0,1년 내내 흘러내린 증시 코스피 연초 대비 25% 하락
164,0,[2022 국내 10대 뉴스]윤석열 대통령 취임
165,0,[2022 국내 10대뉴스]이재용 삼성전자 회장 취임
166,8,[2022 해외 10대 뉴스]美 EU 반도체 지원법 발표
167,0,"[fn마감시황] 코스피, 2230대로 올해 마감...외인 기관 폭풍 매도"
168,0,"한투 ""삼성전자 이제 사야할 때"""
169,0,"[마감시황] 2022 막내린 코스피, 2230선으로 하락 마감 마지막까지 폭락"
170,0,"프리미엄 전쟁 벌이는 삼성-LG, 새해 승부처는 냉장고"
171,0,"고승훈 광운대 교수, ISSCC 논문 발표자 선정"
172,0,"삼성전기, 성과급 1년 새 반토막 연봉의 12~19%"
173,6,"양자 격차' 줄여라 과기정통부, 내달 로드맵 내놓는다"
174,2,"""연말 대목 효과 없었다"" SK하이닉스 이어 삼성까지 적자 예고"
175,0,냉장고 앞에 32인치 TV가 ‘딱’ 가전 빅2 프리미엄 전쟁
176,6,"3년 만에 온전히 열리는 CES, 국내 기업 총출동"
177,0,"3나노 반도체 전쟁 시작 TSMC ""양산 개시"""
178,0,삼성 비스포크 LG 시그니처 신제품 CES서 첫 선(종합)
179,0,"5대 그룹 총수, 尹정부 첫 재계 신년인사회 총출동"
180,0,601만4851명...그래도 삼성전자는 믿는다
181,0,"삼성전기, 실적 악화에 성과급 반토막 연봉 최대 19%"
182,0,"SK매직, 신세계까사와 업무협약 체결 생활구독 영역 확장"
183,0,"화인써키트, 신영스팩6호와 합병 승인 내년 2월 코스닥 상장"
184,0,[오후시황] 증시 폐장일 2250선까지 반납한 코스피
185,0,이재용 양승태 아직 1심이라고? 해 넘어가는 재판 언제 끝나나
186,7,예술 작품도 삼성 '더 프레임' TV로 유니온 아트페어에서 디지털 전시
187,0,[논단]통계는 거짓말하지 않는다
188,2,"갤S23 출고가 올려, 말어? MX사업부 부진에 고민 깊어지는 삼성전자"
189,0,양자기술 최고위 전략대화 첫 개최...민 관 전략적 투자방안 논의
190,0,"케이던스, 카카오톡채널 이벤트 실시 혁신제품 기세 잇는다"
191,6,"위기의 메타, 한국 300억 이어 유럽서 15조 과징금"
192,0,삼성생명 보유 삼성전자 지분 '부채'로
193,0,[10시 시황 해설자들 - 해설자들] 최악이 지나도 난 뒤 2023 삼성전자 기회가 올까
194,0,자금 빠지는 삼성그룹주 ETF  ‘삼성생명법’ 악재 추가?
195,7,"삼성전자, 2배 커진 스크린 탑재한 패밀리허브 냉장고 공개"
196,7,"삼성전자, CES서 32인치 풀HD 스크린 탑재 ‘스마트 냉장고’ 공개"
197,6,CES 다보스 포럼 재계 총수들은 새해에도 출장길
198,7,"“TV야, 냉장고야?” 삼성전자, 32인치 대화면 냉장고 공개"
199,0,[뉴스라이브] 키워드로 보는 '2022 한국 경제'...염승환의 새해 전망은?
200,7,"[다가오는 CES 2023] 삼성전자, 비스포크 냉장고 신제품 공개"
201,0,"[CES 2023] 내달 5일 개막..AMD, BMW 회장 등 연사 750명"
202,7,"삼성 LG, CES서 초대형 럭셔리 신가전 대거 출동"
203,0,"""산 학 연 관 모여 양자기술 키운다"""
204,2,K-반도체 공장이 안 돌아간다 생산 가동률 동반 급감 경고등
205,0,삼성전자에서 돈 냄새 맡았나 주식 초고수들 매수 강도 높인다
206,7,냉장고 만졌더니 '깜짝' 삼성전자가 예고한 놀라운 신제품 [영상]
207,7,캔버스 된 삼성 ‘더 프레임’ TV
208,7,"삼성전자, 32인치 터치 스크린 탑재한 패밀리허브 냉장고 공개"
209,7,[커머스 핫라인]“매일 새 옷처럼” 의류관리기 '인기'
210,7,“삼성 냉장고에 TV가 들어갔다” 대화면으로 드라마 보면서 레시피 검색까지
211,7,"냉장고 모니터도 '거거익선' 삼성, CES2023서 기존 2배 비스포크 신제품 선봬"
212,5,"""삼성 SK도 재해대책 강화해야"" 반도체 정유사도 BCP 권고"
213,7,유튜브 보고 아마존 주문까지 삼성 '비스포크 냉장고 패밀리허브 플러스'의 진화
214,7,"터치스크린 2배 커졌다 삼성전자, 패밀리허브 냉장고 신제품 공개"
215,2,"한국 반도체 생산 11% 줄었다 대만 1등 기업도 내년 1분기 ‘위기’, 왜? [비즈360]"
216,0,SK매직 가전이어 가구까지 구독영역 확장
217,0,"e편한세상 시티 평택고덕, 청약 성황리 마무리 최고 경쟁률 55대 1"
