document,label_1,label_2,label_3
"[강세 토픽] 스마트홈 테마, 유니트론텍 +7.41%, 삼진 +4.02%",0,1,0
"[강세 토픽] 스마트홈 테마, 텔레필드 +7.80%, 코맥스 +4.91%",0,1,0
"[강세 토픽] 폭염 테마, 위닉스 +6.04%, 롯데칠성 +3.40%",0,1,0
"[강세 토픽] 스마트홈 테마, 하츠 +4.84%, 코콤 +4.75%",0,1,0
"[강세 토픽] 폭염 테마, 파세코 +24.13%, 위닉스 +5.81%",0,1,0
"[강세 토픽] 스마트홈 테마, 코맥스 +3.53%, 코콤 +3.33%",0,1,0
"[강세 토픽] 폭염 테마, 빙그레 +29.88%, 위닉스 +3.46%",0,1,0
"[강세 토픽] 스마트홈 테마, 텔레필드 +6.28%, 와이솔 +4.20%",0,1,0
"[강세 토픽] 폭염 테마, 에스씨디 +4.85%, 빙그레 +3.25%",0,1,0
"[강세 토픽] 폭염 테마, 에쎈테크 +14.34%, 하이트진로 +4.31%",0,1,0
"[강세 토픽] 스마트홈 테마, 필룩스 +7.29%, 하츠 +4.33%",0,1,0
"[강세 토픽] 폭염 테마, 하이트진로 +4.30%, 에쎈테크 +4.13%",0,1,0
"[강세 토픽] 폭염 테마, 파세코 +4.67%, 위니아딤채 +4.02%",0,1,0
"[강세 토픽] 폭염 테마, 태경화학 +4.56%, 위니아딤채 +4.33%",0,1,0
"[강세 토픽] 폭염 테마, 위니아딤채 +5.12%, 하이트진로 +2.96%",0,1,0
"[강세 토픽] 폭염 테마, 하이트진로 +5.41%, 에쎈테크 +4.08%",0,1,0
"[강세 토픽] 스마트홈 테마, 어보브반도체 +5.18%, 텔레필드 +4.17%",0,1,0
"[강세 토픽] 폭염 테마, 하이트진로 +5.50%, 에쎈테크 +3.88%",0,1,0
"[강세 토픽] 스마트홈 테마, 유니트론텍 +3.13%, 필룩스 +2.85%",0,1,0
"[강세 토픽] 스마트홈 테마, 필룩스 +4.77%, 와이솔 +4.05%",0,1,0
"[강세 토픽] 스마트홈 테마, 윈팩 +7.80%, 필룩스 +5.24%",0,1,0
"[강세 토픽] 스마트홈 테마, 유니트론텍 +5.26%, 텔레필드 +4.47%",0,1,0
"[강세 토픽] 폭염 테마, 위니아딤채 +4.38%, 파세코 +4.24%",0,1,0
"[강세 토픽] 스마트홈 테마, 하츠 +6.18%, 삼진 +4.05%",0,1,0
"[스타트업 취중잡담] 대기업이 먼저 찾아온다, 고졸 설움 남성의 180억 반전",0,1,0
"[강세 토픽] 폭염 테마, 에쎈테크 +8.82%, 크린앤사이언스 +4.27%",0,1,0
"[강세 토픽] 폭염 테마, 에쎈테크 +5.99%, 위닉스 +3.85%",0,1,0
"[강세 토픽] 스마트홈 테마, 와이솔 +6.06%, 하츠 +4.77%",0,1,0
"[강세 토픽] 스마트홈 테마, 필룩스 +3.80%, 윈팩 +3.05%",0,1,0
"[데스크가 만났습니다]김창용 NIPA 원장 ""한국형 인공지능 산업 육성 올인""",0,1,0
“이젠 E모빌리티다” 선점경쟁 나선 4대 그룹,0,1,0
지난해 영업이익 증가율 1위 통신장비 기업은 서진시스템. 왜?,0,1,0
[창간특집] 4차 산업 물결 속 기업들은 체질 개선 구슬땀,0,1,0
‘제조업 패러다임’을 바꾸는 핵심 동력 스마트팩토리 주식의 스마트한 유혹,0,1,0
공장이 거대 컴퓨터로... 스마트팩토리가 열린다,0,1,0
"인천시, 정보통신기술 활용 스마트 공장 보급",0,1,0
"인천시, 삼성전자와 함께 지역 제조업 공장 스마트화 보급",0,1,0
스마트팩토리 해외 공략 가속.. 관련주 성장 주목,0,1,0
"늘어나는 환경규제, 친환경 관련주 뜬다",0,1,0
"삼성 SK LG '미래 사업', IT계열사가 떠 받친다",0,1,0
"[에너지 강국]새로 찾고, 아껴 쓰고 에너지 청정국이 우리 미래다",0,1,0
“중소 중견기업 제조역량 업그레이드 해드립니다”,0,1,0
"경북 구미, 스마트팩토리 확산 거점으로 뜬다[수정]",0,1,0
SKT 'IoT 플랫폼 대전' 가세,0,1,0
"[IT 신제품 대전] 삼성 SDS '물류솔루션'-LGCNS '분석솔루션', ""글로벌 IT트렌드 우리가 이끈다""",0,1,0
"삼성SDI, ‘UPS+ESS’ 완제품 개발[수정]",0,1,0
"제조업 혁신 3.0, 스마트공장 1만개로 2024년 수출 1조달러 시대 개막",0,1,0
[SPECIAL REPORT 2] 5대 그룹 신성장동력 모바일 친환경차↑ 태양광↓,0,1,0
"생태계 복원, 물 환원 프로젝트 국민이 체감할 ESG 사례 발굴",0,0,1
"사용한 물 다시 쓰고, 하천도 살리고",0,0,1
"삼성전자, 반도체 업계 최초 '카본트러스트 AWS' 국제인증 획득",0,0,1
"삼성전자 화성 캠퍼스, 국제수자원관리동맹 인증 최고 등급 받았다",0,0,1
"이재준 수원특례시장, 공직자 삼성전자 임직원과 '세계 물의 날' 기념",0,0,1
"이재준 수원시장, “하천을 비롯한 자연환경 보호를 위해 지속해서 노력하겠다”",0,0,1
[강원포럼]물 한방울의 진짜 가치,0,0,1
"탄소중립 무역장벽 해소, 수상태양광에서 해답 찾다",0,0,1
"탄소중립 무역장벽 해소, 수상태양광에서 해답 찾다",0,0,1
"농어촌公-삼성전자, 환경경영 확산 업무협력 체결",0,0,1
충남도 ‘베이밸리 메가시티’ 건설로 한국 경제 성장 견인?[중원 르네상스-변방에서 중심으로],0,0,1
삼성전자 “공공 민간에 ‘이음5G’ 장비 공급 확대”,0,0,1
"삼성전자, 이음5G 장비 공급 확대",0,0,1
[K-water 수도권수도사업단 ] 물 관리 으뜸 기관... 수도권 주민 행복을 水 놓다,0,0,1
"LG전자, 美컨슈머리포트 세탁기-건조기 세트 1위",0,0,1
"[서경이 만난 사람] 한정애 장관 ""SMR SFR은 핵폐기물 적어 K택소노미에 포함 검토""",0,0,1
정부부처 주간일정 및 보도계획(24~28일),0,0,1
<오늘의 인사>,0,0,1
<오늘의 인사>,0,0,1
[K-water 수도권수도사업단 ] 물 관리 으뜸 기관... 수도권 주민 행복을 水 놓다,0,0,1
"대구 ""제2의 페놀사태 막아야"" vs 구미 ""물 부족 사태 부를 것""",0,0,1
"LS일렉트릭 에너지 공기업, 기술 중소기업에 무상 이전",0,0,1
"산업부, 기술나눔사업 활발",0,0,1
LS일렉트릭 가스공사 한수원 등이 보유한 '에너지 환경 분야 기술' 중소기업에 무상이전,0,0,1
조간브리핑 (1월 20일),0,0,1
"[CES 2021] ""AI가 물관리"" 삼성, 비스포크 정수기 첫선",0,0,1
플라스틱의 역습 '환경 딜레마'에 빠진 언택트 기업들,0,0,1
"하천 물관리에 사활 건 삼성전자 ""수자원 파괴땐 반도체 공장도 멈춘다""",0,0,1
2020년 TTA 시험인증 대상 시상식,0,0,1
"부강테크, 2020 UN지속가능개발목표경영지수(SDGBI) 글로벌 최우수그룹에 선정",0,0,1
로봇이 주차해주고 자율주행차만 다니는 도시 스마트시티 '눈앞',0,0,1
세종 스마트시티 시범도시 2023년 입주,0,0,1
머니투데이 오프라인 헤드라인-9일자,0,0,1
"1년 내린 비, 28%만 활용 한번 쓴 물 걸러 화장실에 재활용을",0,0,1
삼성에 이어 SK하이닉스 방류천에도 수달 발견,0,0,1
'스마트 기술' 만난 부동산 미래 한눈에 해외투자 상품도 찜해볼까,0,0,1
[인사] 해양수산부 외,0,0,1
오늘의 인사 - 2020년 1월 22일,0,0,1
1월 22일 인사,0,0,1
[인사] 삼성전자 / 삼성SDS / 삼성전기 등,0,0,1
文대통령 ‘신남방 외교전’ 태국 印尼 필리핀 릴레이 정상회담,0,0,1
"문 대통령, 잠시 뒤 환영 만찬 주재...사회에 배우 정우성",0,0,1
"한 아세안 개막...문 대통령 ""북미회담 넘으면 동아시아도 하나""",0,0,1
"문 대통령 ""3차 북미회담 넘으면 동아시아도 하나의 공동체""",0,0,1
"문 대통령 ""3차 북미회담 넘기면 동아시아 공동체 가능""",0,0,1
핵심기술 통한 주력산업 체질개선,0,0,1
[인사] 과학기술정보통신부 外,0,0,1
[인사] 과학기술정보통신부 外,0,0,1
"[인사]삼성전자, 한국수자원공사",0,0,1
"이낙연 국무총리, 구미 경제인과 간담회",0,0,1
"[인터뷰]이철우 경북지사 ""바이오 드론 신산업 생태계 조성 일자리 창출에 사활""",0,0,1
[세종만사(世宗萬事)]전기요금 누진제 한시 완화했지만...,0,0,1
대구시민들 “정부가 중재는커녕 갈등 조장” 반발,0,0,1
"[MT리포트]한몸이길 바랐던 '금융당국', 불안한 동거 끝낼까",0,0,1
"K-water(한국수자원공사), 베트남에 스마트 물기술 수출 본격화",0,0,1
머니투데이 오프라인 헤드라인-12월1일자,0,0,1
[이브닝 이슈] 캐비닛 문건 추가 발견 국정과제 완수 위한 협치 전략은?,0,0,1
"[기업 재무] 애플 도요타도 선택한 그린본드, 새 성장동력 '기후 시장' 선점하라",0,0,1
‘1회 충전 400㎞ 주행’ 고밀도 전지 개발 ‘스마트 신도시’ 수출 산업으로 육성,0,0,1
[한-이란 정상회담]교역 복원 일등공신은 ICT 앞으로가 더 `무궁무진`,0,0,1
['바이오 신화' 도전 나선 삼성] 바이오서 '삼성의 미래' 찾는 이재용의 자신감,0,0,1
2015년 10월 8일(목) 전국 주요 신문 사설,0,0,1
[기고] 팀 코리아로 일굴 제2 해외건설 신화,0,0,1
2015년 4월 21일자 전국 주요 신문 톱뉴스,0,0,1
“물기술 총망라 기업 국가관 빨리 구경하세요” 물포럼 ‘Expo& Fair’,0,0,1
[제7차 세계 물 포럼 개최] (5)블루골드를 잡아라,0,0,1
